"","","Low_LowElShape_Out","Low_MedElShape_Out","Low_HighElShape_Out","High_LowElShape_Out","High_MedElShape_Out","High_HighElShape_Out"
"X2018.01.01","2018-01-01","3.96329787234043","3.19539791507755","2.2368","6.88328465513368","5.04072681704261","2.88541266794626"
"X2018.01.02","2018-01-02","5.48523936170213","4.05034324942792","2.84693333333333","7.67288249831499","5.90392648287385","3.3915547024952"
"X2018.01.03","2018-01-03","5.74747340425532","3.9373251970506","2.09813333333333","7.61907436531117","5.86695906432749","3.56238003838772"
"X2018.01.04","2018-01-04","5.53656914893617","2.91431477243834","0.810133333333333","7.07211862502808","4.82748538011696","2.97120921305182"
"X2018.01.05","2018-01-05","4.63031914893617","1.64721586575133","-0.588533333333333","8.07335430240395","5.63408521303258","3.68675623800384"
"X2018.01.06","2018-01-06","4.85119680851064","1.45868293923214","-1.372","6.23264434958436","3.40392648287385","0.605374280230326"
"X2018.01.07","2018-01-07","2.18324468085106","-0.743325705568268","-2.5352","3.93158840709953","1.35839598997494","-1.23166986564299"
"X2018.01.08","2018-01-08","4.96595744680851","2.05364861428935","-0.12","5.69254100202202","3.38868003341688","2.07120921305182"
"X2018.01.09","2018-01-09","3.47021276595745","-0.243198576150521","-2.7984","7.11559200179735","4.31578947368421","2.4767754318618"
"X2018.01.10","2018-01-10","2.25904255319149","-1.01195016526824","-3.0872","5.48573354302404","2.78717627401838","0.593282149712092"
"X2018.01.11","2018-01-11","2.26595744680851","-0.116069158403255","-1.8784","3.76937766793979","1.79511278195489","0.171209213051823"
"X2018.01.12","2018-01-12","3.06050531914894","1.75044495296212","0.980266666666667","4.31970343742979","2.56641604010025","0.947600767754319"
"X2018.01.13","2018-01-13","3.92526595744681","2.57818459191457","1.8928","6.07773534037295","4.87176274018379","2.73128598848369"
"X2018.01.14","2018-01-14","5.66422872340426","3.67569285532672","2.21653333333333","6.5421253650865","5.10129490392648","2.94011516314779"
"X2018.01.15","2018-01-15","5.02300531914894","3.17505720823799","1.63973333333333","6.54864075488654","4.88492063492064","3.09193857965451"
"X2018.01.16","2018-01-16","4.65438829787234","2.90389016018307","1.33253333333333","6.24634913502584","4.41395154553049","2.57082533589251"
"X2018.01.17","2018-01-17","4.31742021276596","3.02059496567506","1.75013333333333","5.9076611997304","4.4874686716792","2.79097888675624"
"X2018.01.18","2018-01-18","4.35718085106383","2.27841342486651","0.5656","4.90676252527522","2.85860484544695","1.44548944337812"
"X2018.01.19","2018-01-19","0.368484042553192","-3.3300279684719","-5.55173333333333","1.44776454729274","-1.55451127819549","-3.96506717850288"
"X2018.01.20","2018-01-20","-3.12167553191489","-7.15878464276634","-10.0298666666667","-1.61671534486632","-4.08667502088555","-6.82744721689059"
"X2018.01.21","2018-01-21","-5.09561170212766","-8.06496313246885","-10.2296","-1.61952370253876","-4.33939014202172","-7.31938579654511"
"X2018.01.22","2018-01-22","-2.66529255319149","-4.88558352402746","-6.69866666666667","0.331835542574702","-2.22222222222222","-3.84625719769674"
"X2018.01.23","2018-01-23","-1.16396276595745","-2.89893211289092","-4.33013333333333","1.40283082453381","-0.817251461988304","-3.17543186180422"
"X2018.01.24","2018-01-24","-0.21436170212766","-2.40389016018307","-4.25466666666667","1.48618288025163","-0.601294903926483","-2.089443378119"
"X2018.01.25","2018-01-25","-2.54960106382979","-6.59661835748792","-9.53786666666667","0.306897326443496","-3.19465329991646","-5.65489443378119"
"X2018.01.26","2018-01-26","-4.90212765957447","-8.39816933638444","-11.1176","-0.827454504605707","-4.29448621553885","-7.43282149712092"
"X2018.01.27","2018-01-27","-2.51755319148936","-4.17823544368167","-5.54266666666667","0.546731071669288","-1.31683375104428","-2.97159309021113"
"X2018.01.28","2018-01-28","1.48164893617021","0.829900839054157","0.0746666666666667","4.22174792181532","2.69715956558062","0.335508637236084"
"X2018.01.29","2018-01-29","4.63297872340426","3.7557843885075","2.96533333333333","6.11053695798697","4.6436925647452","2.6383877159309"
"X2018.01.30","2018-01-30","5.53031914893617","4.29824561403509","3.05626666666667","7.11323298135251","5.46365914786967","3.31861804222649"
"X2018.01.31","2018-01-31","3.85505319148936","2.9580472921434","1.89733333333333","6.22174792181532","4.64035087719298","2.53262955854127"
"X2018.02.01","2018-02-01","4.37247340425532","3.77726926010679","3.0656","7.26701864749494","5.8577694235589","3.92648752399232"
"X2018.02.02","2018-02-02","5.44561170212766","4.36270022883295","3.25466666666667","7.60671759155246","6.09670008354219","3.71305182341651"
"X2018.02.03","2018-02-03","5.56077127659574","3.88888888888889","2.68533333333333","8.35183104920243","6.32915622389307","3.58272552783109"
"X2018.02.04","2018-02-04","5.54015957446808","3.65293668954996","2.2096","7.96124466412042","5.97848788638262","3.22207293666027"
"X2018.02.05","2018-02-05","4.59547872340426","2.50495804729214","1.0232","7.55504381037969","5.42878028404344","2.6852207293666"
"X2018.02.06","2018-02-06","3.93390957446808","2.069921179761","0.485333333333333","6.21938890137048","4.07602339181287","1.22437619961612"
"X2018.02.07","2018-02-07","4.56622340425532","2.44584286803966","0.8496","7.05729049651764","4.70112781954887","1.95451055662188"
"X2018.02.08","2018-02-08","5.47353723404255","3.74802949402492","1.9968","7.84902269152999","5.66478696741855","3.17543186180422"
"X2018.02.09","2018-02-09","4.79933510638298","3.50177981184846","2.10026666666667","7.51213210514491","5.49728487886383","3.02456813819578"
"X2018.02.10","2018-02-10","3.38045212765957","0.906559877955759","-0.5984","5.50280835767243","2.890559732665","-0.347792706333973"
"X2018.02.11","2018-02-11","-0.154521276595745","-3.78502415458937","-6.50613333333333","1.83498090316783","-1.24812030075188","-4.38330134357006"
