"","Location","Initial_above_20","Initial_below_20","Large2006Perc","Large2007Perc","Large2008perc","Large2009perc","Large2010perc","Large2011perc","Large2012perc","Large2013perc","Large2014perc","Large2015perc","Large2016perc","Large2017perc","Large20018Perc","Small2006perc","Small2007perc","Small2008perc","Small2009perc","Small2010perc","Small2011perc","Small2012perc","Small2013perc","Small2014perc","Small2015perc","Small2016perc","Small2017perc","Small2018perc"
"Row","LowerMed","54.4888517345","42.9603563084222","54.4888517345","54.4888517345","54.4888517345","54.4888517345","53.7048589624214","53.7048589624214","53.7048589624214","52.9208661903427","37.083352320511","20.8586961069959","11.5871545815265","11.5871545815265","11.5871545815265","42.9603563084222","42.9603563084222","42.9603563084222","42.9603563084222","42.9603563084222","42.9603563084222","42.9603563084222","42.9603563084222","40.4959158593903","30.4734800371095","30.4734800371095","30.4734800371095","30.4734800371095"
"Row.1","LowerLow","27.9296413251143","23.3685454644714","27.9296413251143","27.9296413251143","27.9296413251143","27.9296413251143","27.9296413251143","27.9296413251143","27.9296413251143","27.9296413251143","23.8121029574947","2.19043570007557","2.19043570007557","2.19043570007557","2.19043570007557","23.3685454644714","23.3685454644714","23.3685454644714","23.3685454644714","23.3685454644714","23.3685454644714","23.3685454644714","23.3685454644714","23.3685454644714","15.0028966995094","15.0028966995094","15.0028966995094","15.0028966995094"
"Row.2","UpperMed","24.38237322418","66.854696855585","24.38237322418","24.38237322418","24.38237322418","24.193905026459","24.193905026459","24.193905026459","23.1011981738057","23.1011981738057","23.1011981738057","19.2483694403991","17.1566950491386","17.1566950491386","17.1566950491386","66.854696855585","66.854696855585","66.854696855585","66.854696855585","66.854696855585","66.854696855585","65.4762925322542","65.4762925322542","64.0978882089234","56.6003773970711","55.2219730737403","55.2219730737403","55.2219730737403"
"Row.3","UpperLow","43.7644936362556","71.4271672300167","43.7644936362556","43.4255790091337","43.0866643820119","42.7477497548901","42.7477497548901","37.0783471447101","37.0783471447101","37.0783471447101","33.9032821669993","22.6858968004227","22.6858968004227","22.6858968004227","22.6858968004227","71.4271672300167","69.3721184575749","69.3721184575749","69.3721184575749","67.3170696851332","65.2620209126915","63.2069721402497","42.8489399836173","42.8489399836173","35.2818856905151","33.2268369180734","33.2268369180734","33.2268369180734"
