"","Dates","HE_HL","LE_HL","LE_LL","HE_LL"
"1",2003-01-01,-0.519606026979729,-0.500774002640344,-0.710901756819825,-0.726494794575532
"2",2003-01-02,-0.519606026979729,-0.500774002640344,-0.710901756819825,-0.726494794575532
"3",2003-01-03,-0.519606026979729,-0.500774002640344,-0.710901756819825,-0.726494794575532
"4",2003-01-04,-0.519606026979729,-0.500774002640344,-0.710901756819825,-0.726494794575532
"5",2003-01-05,-0.519606026979729,-0.500774002640344,-0.710901756819825,-0.726494794575532
"6",2003-01-06,-0.519606026979729,-0.500774002640344,-0.710901756819825,-0.726494794575532
"7",2003-01-07,-0.519606026979729,-0.500774002640344,-0.710901756819825,-0.726494794575532
"8",2003-01-08,-0.519606026979729,-0.500774002640344,-0.710901756819825,-0.726494794575532
"9",2003-01-09,-0.519211185248355,-0.500771221252436,-0.710887143638304,-0.726107280234996
"10",2003-01-10,-0.498741642714308,-0.477438853433259,-0.701890737704774,-0.717787014509305
"11",2003-01-11,-0.486516968244606,-0.464610049377831,-0.690341010417989,-0.707303325164676
"12",2003-01-12,-0.486516968244606,-0.464610049377831,-0.690341010417989,-0.707303325164676
"13",2003-01-13,-0.485878723381757,-0.463869504847138,-0.690341010417989,-0.707303325164676
"14",2003-01-14,-0.486243828078969,-0.463921308196938,-0.690423375622932,-0.707234380895503
"15",2003-01-15,-0.497589057297619,-0.473834522377063,-0.693268960606633,-0.709715780238653
"16",2003-01-16,-0.526481339415166,-0.505588585110319,-0.706877818017012,-0.722617868128737
"17",2003-01-17,-0.540768882958407,-0.515956903887007,-0.707516812590849,-0.722981014236202
"18",2003-01-18,-0.576568417288823,-0.54616555796349,-0.716180436526986,-0.731466508469053
"19",2003-01-19,-0.656108375442562,-0.631394932303062,-0.742541287522117,-0.760677482101902
"20",2003-01-20,-0.722618005775136,-0.701647228101215,-0.827614580696122,-0.848568349662707
"21",2003-01-21,-0.747158217874481,-0.724171255059424,-0.882381463863982,-0.906258655589141
"22",2003-01-22,-0.745298001181897,-0.720747714217293,-0.882595347702625,-0.90634780766135
"23",2003-01-23,-0.778874967551607,-0.755614497693884,-0.900419443746656,-0.923275408785244
"24",2003-01-24,-0.797317435590271,-0.774191735209636,-0.949509770128635,-0.970829718448666
"25",2003-01-25,-0.805532015934635,-0.783162058888709,-1.01137600257422,-1.02098191949626
"26",2003-01-26,-0.816120052153787,-0.793823814089765,-1.05484689642537,-1.06144626203047
"27",2003-01-27,-0.81872149195715,-0.79751506351811,-1.06306614679612,-1.06928867264912
"28",2003-01-28,-0.817345878784246,-0.797144095905786,-1.06306614679612,-1.06928867264912
"29",2003-01-29,-0.817345878784246,-0.797144095905786,-1.06306614679612,-1.06928867264912
"30",2003-01-30,-0.817793035668314,-0.797206677133732,-1.06316976753782,-1.06932076739512
"31",2003-01-31,-0.834678164214194,-0.817407897514681,-1.08573052710164,-1.08989706566095
"32",2003-02-01,-0.851430026792164,-0.83847100047384,-1.09241406494151,-1.09595524614113
"33",2003-02-02,-0.847092825291043,-0.835472316634764,-1.09085776110939,-1.09459003074203
"34",2003-02-03,-0.847092825291043,-0.835472316634764,-1.09085776110939,-1.09459003074203
"35",2003-02-04,-0.847101636264128,-0.835472316634764,-1.09085776110939,-1.09459003074203
"36",2003-02-05,-0.852730746693845,-0.838766870612628,-1.09085776110939,-1.09459003074203
"37",2003-02-06,-0.870102681502676,-0.84395172534795,-1.10185351596937,-1.10674324122556
"38",2003-02-07,-0.944414979187888,-0.921990516596534,-1.12070784131073,-1.12518464453557
"39",2003-02-08,-1.0047255392693,-0.980408354516623,-1.15232146682759,-1.16098336195751
"40",2003-02-09,-1.08317073401723,-1.06231292728482,-1.19029381901322,-1.2034013235674
"41",2003-02-10,-1.11582915644282,-1.09752738425,-1.22197453231798,-1.23628952300529
"42",2003-02-11,-1.11593488811984,-1.09752738425,-1.21490374516777,-1.22902838389745
"43",2003-02-12,-1.11574159739779,-1.09752460286209,-1.18475940862942,-1.19823169207357
"44",2003-02-13,-1.0916204572058,-1.06891802822103,-1.12467996974269,-1.13586149670331
"45",2003-02-14,-1.08135126807516,-1.05474755217314,-1.1024054956896,-1.11314911478735
"46",2003-02-15,-1.08125159394214,-1.05474755217314,-1.1024054956896,-1.11314911478735
"47",2003-02-16,-1.0626709037632,-1.03113287348123,-1.08757444491554,-1.09860900615721
"48",2003-02-17,-1.11020279944219,-1.09026796180827,-1.09390195251469,-1.10483598122744
"49",2003-02-18,-1.11398160552404,-1.09172193233755,-1.09500325501305,-1.1058594470164
"50",2003-02-19,-1.13239158309946,-1.11382388368061,-1.09366814161033,-1.10487045336202
"51",2003-02-20,-1.12549314185968,-1.10465747215398,-1.09304774563116,-1.10609837456992
"52",2003-02-21,-1.17280751664063,-1.15858997439778,-1.11589944035437,-1.12999172426907
"53",2003-02-22,-1.1817115556289,-1.17066884673833,-1.11747567125221,-1.1316826419053
"54",2003-02-23,-1.18217303034423,-1.17066884673833,-1.11747567125221,-1.1316826419053
"55",2003-02-24,-1.18196432041928,-1.1705996597141,-1.11714953161005,-1.12961906860724
"56",2003-02-25,-1.19529091721043,-1.18268200878953,-1.10672236235839,-1.11792469412201
"57",2003-02-26,-1.19147356312133,-1.17849428161948,-1.09014769333451,-1.09970973707542
