"","","Low_LowElShape_Out","Low_MedElShape_Out","Low_HighElShape_Out","High_LowElShape_Out","High_MedElShape_Out","High_HighElShape_Out"
"X2018.01.01","2018-01-01","0","0","0","0","0","0"
"X2018.01.02","2018-01-02","0","0","0","0","0.00334168755221387","0.0153550863723608"
"X2018.01.03","2018-01-03","0","0","0","0","0.0175438596491228","0.091746641074856"
"X2018.01.04","2018-01-04","2.20585106382979","2.78311721332316","3.28106666666667","5.64502359020445","5.92355889724311","5.17120921305182"
"X2018.01.05","2018-01-05","0","0","0","2.2060211188497","3.88178780284043","3.60690978886756"
"X2018.01.06","2018-01-06","3.51968085106383","3.90007627765065","3.74346666666667","20.6369355201078","26.0455304928989","24.7719769673704"
"X2018.01.07","2018-01-07","3.18377659574468","2.92117976099669","1.26186666666667","9.13569984273197","12.6207184628237","9.9658349328215"
"X2018.01.08","2018-01-08","10.7220744680851","13.1688278667684","12.5258666666667","8.45023590204448","11.3141186299081","13.0199616122841"
"X2018.01.09","2018-01-09","25.0712765957447","29.2598525298754","28.2592","44.6317681419906","43.8295739348371","29.6287907869482"
"X2018.01.10","2018-01-10","13.6359042553191","18.1934909738113","20.5541333333333","8.93327342170299","9.12322472848789","7.11746641074856"
"X2018.01.11","2018-01-11","0","0","0","3.24084475398787","3.4578111946533","2.48982725527831"
"X2018.01.12","2018-01-12","0","0","0","0","0","0"
"X2018.01.13","2018-01-13","0","0","0","0","0","0"
"X2018.01.14","2018-01-14","0","0","0","0","0","0"
"X2018.01.15","2018-01-15","0","0","0","0","0","0"
"X2018.01.16","2018-01-16","0","0","0","0.79285553808133","0.510025062656642","0.342802303262956"
"X2018.01.17","2018-01-17","0","0","0","0","0.0200501253132832","0.0683301343570058"
"X2018.01.18","2018-01-18","0","0","0","0.00224668613794653","0.528822055137845","2.90825335892514"
"X2018.01.19","2018-01-19","3.96037234042553","4.17264174930079","3.25973333333333","21.5203325095484","26.6127819548872","17.5047984644914"
"X2018.01.20","2018-01-20","4.89335106382979","4.85532672260361","4.1264","0.00224668613794653","0.0304928989139515","0.0752399232245681"
"X2018.01.21","2018-01-21","0","0","0","0","0","0"
"X2018.01.22","2018-01-22","0","0","0","3.88429566389575","3.41144527986633","1.1616122840691"
"X2018.01.23","2018-01-23","0","0","0","3.08425073017299","3.21971595655806","1.55777351247601"
"X2018.01.24","2018-01-24","0","0","0","0.0251628847450011","1.28111946532999","6.2468330134357"
"X2018.01.25","2018-01-25","4.13989361702128","4.37604881769641","4.0592","20.1938890137048","25.390142021721","17.4042226487524"
"X2018.01.26","2018-01-26","1.18670212765957","1.47520976353928","1.632","6.90676252527522","10.8487886382623","4.95662188099808"
"X2018.01.27","2018-01-27","0","0","0","0","0","0"
"X2018.01.28","2018-01-28","0","0","0","0","0","0"
"X2018.01.29","2018-01-29","0","0","0","0","0","0"
"X2018.01.30","2018-01-30","0","0","0","0","0","0"
"X2018.01.31","2018-01-31","0","0","0","0","0","0"
"X2018.02.01","2018-02-01","0","0","0","0","0","0"
"X2018.02.02","2018-02-02","0","0","0","0","0","0"
"X2018.02.03","2018-02-03","0","0","0","0","0","0"
"X2018.02.04","2018-02-04","0","0","0","0","0","0"
"X2018.02.05","2018-02-05","0","0","0","0","0","0"
"X2018.02.06","2018-02-06","0","0","0","0","0","0"
"X2018.02.07","2018-02-07","0","0","0","0","0","0"
"X2018.02.08","2018-02-08","0","0","0","0","0","0"
"X2018.02.09","2018-02-09","0","0","0","0","0","0"
"X2018.02.10","2018-02-10","0","0","0","0","0","0"
"X2018.02.11","2018-02-11","0","0","0","0","0","0"
"X2018.02.12","2018-02-12","0","0","0","0.0844753987867895","0.312447786131997","1.44107485604607"
"X2018.02.13","2018-02-13","1.19441489361702","1.3300279684719","1.52373333333333","0.330936868119524","0.673350041771094","0.255278310940499"
"X2018.02.14","2018-02-14","0","0","0","0","0","0"
"X2018.02.15","2018-02-15","0","0","0","0","0","0.00921305182341651"
"X2018.02.16","2018-02-16","0","0","0","0","0","0"
"X2018.02.17","2018-02-17","0","0","0","0","0","0"
"X2018.02.18","2018-02-18","0","0","0","0.00112334306897326","0.306182121971596","2.03339731285989"
"X2018.02.19","2018-02-19","0.202393617021277","0.255275870836512","0.359466666666667","0.754886542350034","1.94277360066834","1.50479846449136"
"X2018.02.20","2018-02-20","0.703989361702128","1.46453089244851","2.4608","0.0907661199730398","0.549707602339181","0.696353166986564"
"X2018.02.21","2018-02-21","0","0","0","0","0","0"
"X2018.02.22","2018-02-22","0","0","0.000533333333333333","0.00359469782071445","0.702172096908939","4.33358925143954"
"X2018.02.23","2018-02-23","6.35345744680851","7.01169590643275","6.71733333333333","8.92159065378567","11.9728487886383","7.51516314779271"
"X2018.02.24","2018-02-24","0","0","0","0","0","0"
"X2018.02.25","2018-02-25","0","0","0","0","0","0"
"X2018.02.26","2018-02-26","0.25","0.139842359521993","0.0906666666666667","3.58211637834195","4.4093567251462","6.61420345489443"
"X2018.02.27","2018-02-27","6.83058510638298","7.16425120772947","8.2544","12.6048079083352","12.3358395989975","5.6341650671785"
"X2018.02.28","2018-02-28","2.75478723404255","3.26264937706585","4.06453333333333","0.0959334980903168","0.0417710944026733","0.374280230326296"
"X2018.03.01","2018-03-01","10.0156914893617","11.2880752606153","13.3850666666667","14.8968771062683","21.1470342522974","27.5612284069098"
"X2018.03.02","2018-03-02","34.7710106382979","38.0961098398169","42.4016","42.1918669961806","47.3964076858814","43.5120921305182"
"X2018.03.03","2018-03-03","18.8196808510638","22.0996694635139","25.2842666666667","26.0712199505729","32.7080200501253","25.3769673704415"
"X2018.03.04","2018-03-04","12.7063829787234","14.8988049834732","16.744","9.08088070096608","12.1169590643275","8.0978886756238"
"X2018.03.05","2018-03-05","0","0","0","0","0","0"
"X2018.03.06","2018-03-06","0","0","0","0","0","0"
"X2018.03.07","2018-03-07","0","0","0","0","0","0.0345489443378119"
"X2018.03.08","2018-03-08","0","0","0","0.0885194338350932","0.141186299081036","0.0794625719769674"
"X2018.03.09","2018-03-09","0","0","0","0","0","0"
"X2018.03.10","2018-03-10","0","0","0","0","0.0726817042606516","0.737811900191939"
"X2018.03.11","2018-03-11","8.72925531914894","10.4152046783626","9.78506666666667","0.0903167827454505","2.18170426065163","3.14779270633397"
"X2018.03.12","2018-03-12","0","0","0","0.00359469782071445","0.050125313283208","0.106333973128599"
"X2018.03.13","2018-03-13","6.20851063829787","7.72362064581744","9.78773333333333","16.7778027409571","18.6416040100251","20.6429942418426"
"X2018.03.14","2018-03-14","22.9276595744681","26.3338418510043","31.2778666666667","52.2900471804089","51.6967418546366","34.3604606525912"
"X2018.03.15","2018-03-15","14.6090425531915","15.7589626239512","17.176","11.9674230509998","16.5726817042607","16.9946257197697"
"X2018.03.16","2018-03-16","2.85053191489362","2.79888126112382","3.02986666666667","33.7798247584812","39.077694235589","37.521689059501"
"X2018.03.17","2018-03-17","15.3164893617021","17.5141113653699","20.3562666666667","22.3199281060436","24.1203007518797","17.4383877159309"
"X2018.03.18","2018-03-18","4.26462765957447","5.43325705568269","6.20906666666667","5.92967872388227","7.76942355889724","5.25028790786948"
"X2018.03.19","2018-03-19","0","0","0","0","0","0"
"X2018.03.20","2018-03-20","0","0","0","0.316782745450461","3.1796157059315","8.41074856046065"
"X2018.03.21","2018-03-21","25.6390957446809","28.9964403763031","35.0816","20.1959110312289","26.5501253132832","29.0779270633397"
"X2018.03.22","2018-03-22","49.7271276595745","55.1528095601322","60.9728","65.3507077061334","79.3015873015873","74.1228406909789"
"X2018.03.23","2018-03-23","38.7026595744681","43.2209509280448","47.8074666666667","48.7809481015502","52.4193817878028","33.8510556621881"
"X2018.03.24","2018-03-24","4.8531914893617","3.19349097381134","2.36533333333333","11.1217703886767","13.6729323308271","6.50326295585413"
"X2018.03.25","2018-03-25","2.02047872340426","2.84261378082888","2.5744","8.89440575151651","12.7126148705096","6.43147792706334"
"X2018.03.26","2018-03-26","0.555053191489362","0.380371217899822","0.200533333333333","0.508874410244889","0.579365079365079","0.108253358925144"
"X2018.03.27","2018-03-27","0","0","0","0","0","0.00575815738963532"
"X2018.03.28","2018-03-28","0","0","0","0","0","0"
"X2018.03.29","2018-03-29","0","0","0","0","0","0"
"X2018.03.30","2018-03-30","0","0","0","0","0","0"
"X2018.03.31","2018-03-31","0","0","0","0","0","0"
"X2018.04.01","2018-04-01","0","0","0","0","0","0"
"X2018.04.02","2018-04-02","0","0","0","0","0","0"
"X2018.04.03","2018-04-03","0","0","0","0","0","0"
"X2018.04.04","2018-04-04","0","0","0","0","0","0"
"X2018.04.05","2018-04-05","0","0","0","0","0.29281537176274","1.18886756238004"
"X2018.04.06","2018-04-06","2.07553191489362","2.26544622425629","1.9376","11.1992810604359","13.8082706766917","18.0710172744722"
"X2018.04.07","2018-04-07","21.7667553191489","23.0772946859903","24.2197333333333","51.5967198382386","54.4001670843776","44.616122840691"
"X2018.04.08","2018-04-08","18.6473404255319","23.2407831172133","24.8730666666667","7.88519433835093","9.89807852965748","7.20499040307102"
"X2018.04.09","2018-04-09","0","0","0","0","0","0"
"X2018.04.10","2018-04-10","0","0","0","0","0","0"
"X2018.04.11","2018-04-11","0","0","0","0.77690406650191","2.81704260651629","5.06641074856046"
"X2018.04.12","2018-04-12","4.06542553191489","5.42461225527587","6.60053333333333","11.2889238373399","15.8237259816207","7.92629558541267"
"X2018.04.13","2018-04-13","0","0","0","0.170972815097731","1.83625730994152","1.8168905950096"
"X2018.04.14","2018-04-14","0","0","0","0","0","0"
"X2018.04.15","2018-04-15","0","0","0","0.00314536059312514","0.967418546365915","5.34587332053743"
"X2018.04.16","2018-04-16","3.01755319148936","3.10653445207221","2.96213333333333","13.1563693552011","17.4728487886383","13.5120921305182"
"X2018.04.17","2018-04-17","6.5563829787234","6.90897533689296","6.472","11.5324646146933","11.1081871345029","6.95700575815739"
"X2018.04.18","2018-04-18","0","0","0","0","0","0"
"X2018.04.19","2018-04-19","1.07313829787234","1.46122552758708","1.97706666666667","0","0","0.00345489443378119"
"X2018.04.20","2018-04-20","0.710904255319149","0.815662344266463","1.0112","0.00112334306897326","0","0"
"X2018.04.21","2018-04-21","0","0","0","0","0","0"
"X2018.04.22","2018-04-22","0","0","0","0","0","0"
"X2018.04.23","2018-04-23","0","0","0","0","0","0"
"X2018.04.24","2018-04-24","0","0","0","0","0","0"
"X2018.04.25","2018-04-25","0","0","0","0","0","0"
"X2018.04.26","2018-04-26","0","0","0","0","0","0"
"X2018.04.27","2018-04-27","0","0","0","0","0.00292397660818713","0.00115163147792706"
"X2018.04.28","2018-04-28","0","0","0","0","0","0"
"X2018.04.29","2018-04-29","0","0","0","0","0","0"
"X2018.04.30","2018-04-30","0","0","0","0.00831273871040216","0.342105263157895","1.41612284069098"
"X2018.05.01","2018-05-01","0.322074468085106","1.27205695397915","2.42506666666667","0.41720961581667","2.35338345864662","2.09213051823416"
"X2018.05.02","2018-05-02","3.61702127659574","6.5532672260361","8.2432","4.02898225117951","4.71804511278195","1.73857965451056"
"X2018.05.03","2018-05-03","0","0","0","0","0","0"
"X2018.05.04","2018-05-04","0","0","0","0","0","0"
"X2018.05.05","2018-05-05","0","0","0","0","0","0"
"X2018.05.06","2018-05-06","0","0","0","0","0","0"
"X2018.05.07","2018-05-07","0","0","0","0","0","0"
"X2018.05.08","2018-05-08","0","0","0","0","0","0"
"X2018.05.09","2018-05-09","0","0","0","0","0","0"
"X2018.05.10","2018-05-10","0","0","0","0","0","0"
"X2018.05.11","2018-05-11","0","0","0","0","0","0"
"X2018.05.12","2018-05-12","0","0.0622934146961607","0.223466666666667","0.0134801168276792","0.416040100250627","1.14088291746641"
"X2018.05.13","2018-05-13","0","0","0","0.118849696697371","1.3922305764411","1.5147792706334"
"X2018.05.14","2018-05-14","0.0151595744680851","0.215865751334859","0.516266666666667","0.00471804088968771","0.256892230576441","0.935124760076775"
"X2018.05.15","2018-05-15","0","0.003813882532418","0.0426666666666667","0.00651538980004493","0.306599832915622","0.538195777351248"
"X2018.05.16","2018-05-16","0","0","0","0.0121321051449113","0.576858813700919","1.88368522072937"
"X2018.05.17","2018-05-17","0","0","0","1.70905414513592","2.13617376775272","1.23570057581574"
"X2018.05.18","2018-05-18","0","0","0","0","0.0451127819548872","0.137811900191939"
