"","Location","Initial_above_20","Initial_below_20","Large2008perc","Large2009perc","Large2010perc","Large2011perc","Large2012perc","Large2013perc","Large2014perc","Large2015perc","Large2016perc","Large2017perc","Small2008perc","Small2009perc","Small2010perc","Small2011perc","Small2012perc","Small2013perc","Small2014perc","Small2015perc","Small2016perc","Small2017perc"
"Row","LowerMed","54","159","54","54","52","52","52","36","23","13","11","11","156","156","152","152","152","95","70","43","39","39"
"Row.1","LowerLow","33","122","33","33","33","33","33","21","6","6","6","6","122","122","122","122","122","52","20","20","20","20"
"Row.2","UpperMed","29","125","29","28","28","28","26","24","24","22","21","21","125","121","121","121","113","107","98","85","81","81"
"Row.3","UpperLow","53","280","49","48","48","44","42","41","32","26","26","26","269","266","256","232","211","195","162","136","134","134"
