"","Location","Initial_above_20","Initial_below_20","Large2008perc","Large2009perc","Large2010perc","Large2011perc","Large2012perc","Large2013perc","Large2014perc","Large2015perc","Large2016perc","Large2017perc","Small2008perc","Small2009perc","Small2010perc","Small2011perc","Small2012perc","Small2013perc","Small2014perc","Small2015perc","Small2016perc","Small2017perc"
"Row","LowerMed","54.4888517345","42.9603563084222","54.4888517345","54.4888517345","53.7048589624214","53.7048589624214","53.7048589624214","38.4938257111722","27.0255102236054","18.7857859547074","15.589293662737","15.589293662737","40.4959158593903","40.4959158593903","40.4959158593903","40.4959158593903","40.4959158593903","22.609084046073","21.3121036197775","16.3400966551811","16.3400966551811","16.3400966551811"
"Row.1","LowerLow","27.9296413251143","23.3685454644714","27.9296413251143","27.9296413251143","27.9296413251143","27.9296413251143","27.9296413251143","27.9296413251143","15.4605423059138","3.49179922516635","3.49179922516635","3.49179922516635","23.3685454644714","23.3685454644714","23.3685454644714","23.3685454644714","23.3685454644714","23.3685454644714","8.35570221604834","5.36446469849084","5.36446469849084","5.36446469849084"
"Row.2","UpperMed","24.38237322418","66.854696855585","24.38237322418","24.193905026459","24.193905026459","24.193905026459","22.441707780698","20.3714379811054","20.3714379811054","17.1524050808716","15.0360206088306","15.0360206088306","66.854696855585","64.1535796093068","64.1535796093068","64.1535796093068","61.5615950750339","60.2923234637084","43.4210448697125","35.8697576598044","35.1301981170859","35.1301981170859"
"Row.3","UpperLow","43.7644936362556","71.4271672300167","42.7632570169331","42.4320960208328","42.4320960208328","36.9352967676448","33.7613289589151","32.2455936576294","26.6215659141394","19.7981266575902","19.7981266575902","19.7981266575902","71.4271672300167","71.4271672300167","65.5974759072322","60.2435881510305","51.1517992878466","35.0863343597656","32.2226830783596","27.3597285275901","26.5725549813693","26.5725549813693"
